iter	Passed	Remaining
871	1238	181
872	1238	180
873	1239	178
874	1240	177
875	1241	175
876	1242	174
877	1243	172
878	1245	171
879	1246	169
880	1247	168
881	1248	166
882	1248	165
883	1249	163
884	1250	162
885	1252	161
886	1253	159
887	1254	158
888	1254	156
889	1255	155
890	1256	153
891	1257	152
892	1259	150
893	1260	149
894	1261	148
895	1263	146
896	1264	145
897	1265	143
898	1266	142
899	1267	140
900	1268	139
901	1269	137
902	1270	136
903	1271	135
904	1273	133
905	1275	132
906	1276	130
907	1277	129
908	1279	128
909	1279	126
910	1280	125
911	1282	123
912	1283	122
913	1284	120
914	1285	119
915	1286	117
916	1287	116
917	1289	115
918	1291	113
919	1292	112
920	1293	110
921	1294	109
922	1294	108
923	1297	106
924	1298	105
925	1299	103
926	1300	102
927	1302	101
928	1304	99
929	1306	98
930	1307	96
931	1308	95
932	1309	94
933	1310	92
934	1311	91
935	1313	89
936	1314	88
937	1316	86
938	1317	85
939	1318	84
940	1320	82
941	1322	81
942	1323	79
943	1324	78
944	1325	77
945	1326	75
946	1328	74
947	1329	72
948	1330	71
949	1331	70
950	1333	68
951	1334	67
952	1336	65
953	1337	64
954	1338	63
955	1339	61
956	1340	60
957	1342	58
958	1343	57
959	1345	56
960	1346	54
961	1347	53
962	1347	51
963	1349	50
964	1350	48
965	1352	47
966	1353	46
967	1354	44
968	1355	43
969	1356	41
970	1358	40
971	1359	39
972	1360	37
973	1361	36
974	1362	34
975	1362	33
976	1363	32
977	1365	30
978	1366	29
979	1367	27
980	1368	26
981	1370	25
982	1371	23
983	1373	22
984	1374	20
985	1376	19
986	1377	18
987	1379	16
988	1381	15
989	1382	13
990	1383	12
991	1384	11
992	1385	9
993	1387	8
994	1388	6
995	1390	5
996	1391	4
997	1392	2
998	1393	1
999	1395	0
